#R-OTE 4.6.2

# Thu Feb 13 12:54:22 2020  (R-OTE 4.6.2) Edge intersecting Disk model
#   Dbegin: 100.00   Dend: 106.00   Rbegin: 200.00   Rend: 206.00
#   Istar: 100.00   Iast: 50.00   numPoints: 300
#   Limb darkening law used: constant
#   Bnoise: 5.00   Anoise: 5.00
#   acf coefficients, 1.0
#   RandSeed: 10

# In PyOTE, use lightcurve parameters of (as starting point):
#   dist(AU)       = 2
#   speed(km/sec)  = 5
#   Star diam(mas) = 19

# timedelta = 1.00
# timestamp = 2001-01-01 00:00:01.000

FrameNum,timeInfo,primaryData
1,[00:00:01.000],149.08
2,[00:00:02.000],143.14
3,[00:00:03.000],147.00
4,[00:00:04.000],151.47
5,[00:00:05.000],151.95
6,[00:00:06.000],143.96
7,[00:00:07.000],148.18
8,[00:00:08.000],141.87
9,[00:00:09.000],148.72
10,[00:00:10.000],155.51
11,[00:00:11.000],153.78
12,[00:00:12.000],148.81
13,[00:00:13.000],154.94
14,[00:00:14.000],153.71
15,[00:00:15.000],150.45
16,[00:00:16.000],145.23
17,[00:00:17.000],149.02
18,[00:00:18.000],154.63
19,[00:00:19.000],152.41
20,[00:00:20.000],147.02
21,[00:00:21.000],139.07
22,[00:00:22.000],146.63
23,[00:00:23.000],139.40
24,[00:00:24.000],143.67
25,[00:00:25.000],148.13
26,[00:00:26.000],146.56
27,[00:00:27.000],145.64
28,[00:00:28.000],149.49
29,[00:00:29.000],148.73
30,[00:00:30.000],140.73
31,[00:00:31.000],149.61
32,[00:00:32.000],154.84
33,[00:00:33.000],150.92
34,[00:00:34.000],143.10
35,[00:00:35.000],142.82
36,[00:00:36.000],151.81
37,[00:00:37.000],141.20
38,[00:00:38.000],148.38
39,[00:00:39.000],146.74
40,[00:00:40.000],155.43
41,[00:00:41.000],146.19
42,[00:00:42.000],145.86
43,[00:00:43.000],154.17
44,[00:00:44.000],145.16
45,[00:00:45.000],149.86
46,[00:00:46.000],151.16
47,[00:00:47.000],148.49
48,[00:00:48.000],146.61
49,[00:00:49.000],153.28
50,[00:00:50.000],148.00
51,[00:00:51.000],148.33
52,[00:00:52.000],156.84
53,[00:00:53.000],160.69
54,[00:00:54.000],152.53
55,[00:00:55.000],153.93
56,[00:00:56.000],145.49
57,[00:00:57.000],152.66
58,[00:00:58.000],146.77
59,[00:00:59.000],151.45
60,[00:01:00.000],143.81
61,[00:01:01.000],147.72
62,[00:01:02.000],145.85
63,[00:01:03.000],151.70
64,[00:01:04.000],155.33
65,[00:01:05.000],156.08
66,[00:01:06.000],153.68
67,[00:01:07.000],147.59
68,[00:01:08.000],152.81
69,[00:01:09.000],143.77
70,[00:01:10.000],151.90
71,[00:01:11.000],142.85
72,[00:01:12.000],144.76
73,[00:01:13.000],148.91
74,[00:01:14.000],142.55
75,[00:01:15.000],155.86
76,[00:01:16.000],142.60
77,[00:01:17.000],147.85
78,[00:01:18.000],144.74
79,[00:01:19.000],157.61
80,[00:01:20.000],152.96
81,[00:01:21.000],148.89
82,[00:01:22.000],153.56
83,[00:01:23.000],153.58
84,[00:01:24.000],152.20
85,[00:01:25.000],150.79
86,[00:01:26.000],153.30
87,[00:01:27.000],161.10
88,[00:01:28.000],144.08
89,[00:01:29.000],149.63
90,[00:01:30.000],147.92
91,[00:01:31.000],149.04
92,[00:01:32.000],150.35
93,[00:01:33.000],155.78
94,[00:01:34.000],152.97
95,[00:01:35.000],142.90
96,[00:01:36.000],141.97
97,[00:01:37.000],154.46
98,[00:01:38.000],150.74
99,[00:01:39.000],156.14
100,[00:01:40.000],141.71
101,[00:01:41.000],132.37
102,[00:01:42.000],105.31
103,[00:01:43.000],93.05
104,[00:01:44.000],66.55
105,[00:01:45.000],57.30
106,[00:01:46.000],53.30
107,[00:01:47.000],41.71
108,[00:01:48.000],55.14
109,[00:01:49.000],55.64
110,[00:01:50.000],43.60
111,[00:01:51.000],55.64
112,[00:01:52.000],47.68
113,[00:01:53.000],48.42
114,[00:01:54.000],54.62
115,[00:01:55.000],50.39
116,[00:01:56.000],55.20
117,[00:01:57.000],53.71
118,[00:01:58.000],56.28
119,[00:01:59.000],54.75
120,[00:02:00.000],47.59
121,[00:02:01.000],51.01
122,[00:02:02.000],49.84
123,[00:02:03.000],44.02
124,[00:02:04.000],53.12
125,[00:02:05.000],45.43
126,[00:02:06.000],51.24
