# PyMovie format
#
# from file: diffraction_miss_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ None
# R @ None
#
# lightcurve model: diffraction
# event category: total miss
#
# UTC time: 2022-12-25 19:15:36.888592+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 1.15000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.00000 sec
# chord_length_km:  0.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
0,[00:00:0.0000],3103.70,3000.02,-5.07
1,[00:00:0.0344],3099.34,3000.03,-16.37
2,[00:00:0.0688],3054.96,3000.06,10.36
3,[00:00:0.1032],3030.87,3000.12,7.33
4,[00:00:0.1376],3069.10,2999.96,33.92
5,[00:00:0.1720],2953.89,3000.12,-14.46
6,[00:00:0.2064],2993.09,3000.05,-26.28
7,[00:00:0.2408],2966.08,2999.82,-13.20
8,[00:00:0.2752],2928.80,3000.08,22.68
9,[00:00:0.3096],2900.51,3000.08,6.21
10,[00:00:0.3440],2971.17,3000.15,7.13
11,[00:00:0.3784],3017.02,2999.97,-16.22
12,[00:00:0.4128],2952.27,3000.12,-13.69
13,[00:00:0.4472],3036.49,3000.09,-2.27
14,[00:00:0.4816],2916.66,3000.06,24.02
15,[00:00:0.5160],3065.23,2999.93,27.29
16,[00:00:0.5504],3095.11,3000.11,6.58
17,[00:00:0.5848],3078.38,3000.07,34.26
18,[00:00:0.6192],2978.38,3000.05,15.11
19,[00:00:0.6536],2980.32,3000.27,48.53
20,[00:00:0.6880],2956.02,3000.24,-22.51
21,[00:00:0.7224],3107.06,2999.83,8.01
22,[00:00:0.7568],3120.63,2999.82,-19.62
23,[00:00:0.7912],2958.39,3000.26,-7.24
24,[00:00:0.8256],3002.44,3000.21,43.07
