# PyMovie format
#
# from file: diffraction_with_central_spot_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:5.5247]
# R @ [00:00:5.9247]
#
# lightcurve model: diffraction
# event category: normal
#
# UTC time: 2022-12-25 19:15:25.789541+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.03440 sec
#
# asteroid_diameter_km:  2.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 8.00000
# bottom   intensity: 1.89287 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 0.40000 sec
# chord_length_km:  2.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.00006 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 0.10340 mas
# asteroid_rho:          1.00 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
0,[00:00:0.0000],3024.98,3000.31,-23.48
1,[00:00:0.0344],3099.43,3000.00,24.44
2,[00:00:0.0688],3035.94,2999.96,-9.23
3,[00:00:0.1032],2954.41,3000.17,-42.11
4,[00:00:0.1376],3011.81,2999.94,-20.15
5,[00:00:0.1720],2957.05,2999.76,23.95
6,[00:00:0.2064],2915.69,3000.45,16.58
7,[00:00:0.2408],2946.16,3000.24,7.23
8,[00:00:0.2752],2996.98,3000.04,-18.91
9,[00:00:0.3096],3030.16,3000.02,43.36
10,[00:00:0.3440],3053.46,2999.96,-0.57
11,[00:00:0.3784],2992.55,3000.11,4.36
12,[00:00:0.4128],2967.32,3000.05,23.94
13,[00:00:0.4472],3034.88,3000.10,-11.71
14,[00:00:0.4816],2994.76,3000.10,-49.23
15,[00:00:0.5160],2936.92,3000.04,15.76
16,[00:00:0.5504],2965.12,3000.01,39.38
17,[00:00:0.5848],3019.70,2999.99,-4.17
18,[00:00:0.6192],2960.69,3000.16,-23.47
19,[00:00:0.6536],3020.77,3000.14,0.47
20,[00:00:0.6880],2957.30,3000.11,-24.19
21,[00:00:0.7224],3035.37,2999.76,-12.87
22,[00:00:0.7568],3029.39,3000.18,2.18
23,[00:00:0.7912],2999.83,3000.25,5.68
24,[00:00:0.8256],2926.00,2999.92,11.26
25,[00:00:0.8600],3049.42,3000.15,-17.80
26,[00:00:0.8944],2938.87,3000.21,-0.37
27,[00:00:0.9288],3036.56,3000.14,19.38
28,[00:00:0.9632],2983.49,2999.82,-2.32
29,[00:00:0.9976],2830.86,3000.41,-37.41
30,[00:00:1.0320],3039.34,3000.26,35.07
31,[00:00:1.0664],3064.74,2999.98,-25.76
32,[00:00:1.1008],2969.78,2999.73,5.17
33,[00:00:1.1352],3005.04,2999.99,21.74
34,[00:00:1.1696],3090.19,3000.33,-16.74
35,[00:00:1.2040],3029.38,2999.28,-8.28
36,[00:00:1.2384],2957.86,3000.77,0.74
37,[00:00:1.2728],3077.70,3000.21,23.20
38,[00:00:1.3072],2985.25,2999.72,-14.69
39,[00:00:1.3416],3021.13,3000.04,-6.24
