# PyMovie format
#
# from file: disk_on_disk_annular_shotnoise_1.0_readnoise_20.0.csv
#
# shot noise level: 1
# read noise sigma: 20
# 
# D @ [00:00:3.4500]
# R @ [00:00:5.3500]
#
# lightcurve model: disk-on-disk
# event category: graze
#
# UTC time: 2022-12-25 19:15:13.444516+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.04000 sec
#
# asteroid_diameter_km:  10.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  3.00000 AU
#
# wavelength_nm: 540 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 400.97865 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 1.90000 sec
# chord_length_km:  9.50000 km
#
# star_diameter_mas: 6.43429 mas
#
# fresnel_length: 0.34857 km
#
# ===== Alternate units =====
#
# star_diameter_km:  14.00000 km
# star_radius_km:    7.00000 km
# star_rho:          40.16 fresnel lengths
#
# asteroid_diameter_mas: 4.59592 mas
# asteroid_rho:          14.34 fresnel lengths
#
# asteroid_distance_arcsec:  2.92940 arcsec
#
# asteroid_speed_sky_motion: 2.29796 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
0,[00:00:0.0000],3019.46,3000.00,3.43
1,[00:00:0.0400],3042.74,3000.00,55.48
2,[00:00:0.0800],3161.97,3000.00,-32.92
3,[00:00:0.1200],3093.29,3000.00,-14.21
4,[00:00:0.1600],2920.78,3000.00,-15.69
5,[00:00:0.2000],3008.50,3000.00,26.54
6,[00:00:0.2400],2984.11,3000.00,-33.64
7,[00:00:0.2800],2899.52,3000.00,-3.85
8,[00:00:0.3200],3001.52,3000.00,9.01
9,[00:00:0.3600],2988.99,3000.00,29.74
10,[00:00:0.4000],3066.05,3000.00,0.61
11,[00:00:0.4400],3077.74,3000.00,-10.87
12,[00:00:0.4800],2968.83,3000.00,6.75
13,[00:00:0.5200],3047.20,3000.00,-14.43
14,[00:00:0.5600],2898.00,3000.00,8.50
15,[00:00:0.6000],2971.47,3000.00,-0.46
16,[00:00:0.6400],3043.11,3000.00,-23.49
17,[00:00:0.6800],3130.06,3000.00,15.07
18,[00:00:0.7200],3032.80,3000.00,11.87
19,[00:00:0.7600],3065.67,3000.00,31.93
20,[00:00:0.8000],3003.05,3000.00,-12.64
21,[00:00:0.8400],3055.79,3000.00,5.46
22,[00:00:0.8800],3014.37,3000.00,29.24
23,[00:00:0.9200],3042.13,3000.00,33.61
24,[00:00:0.9600],2989.45,3000.00,-4.98
25,[00:00:1.0000],3005.00,3000.00,25.72
26,[00:00:1.0400],2971.76,3000.00,26.89
27,[00:00:1.0800],2927.39,3000.00,11.21
28,[00:00:1.1200],2962.07,3000.00,9.98
29,[00:00:1.1600],3054.60,3000.00,-14.77
30,[00:00:1.2000],2925.48,3000.00,-9.65
31,[00:00:1.2400],3008.55,3000.00,11.90
32,[00:00:1.2800],2990.62,3000.00,6.14
33,[00:00:1.3200],2894.90,3000.00,20.48
34,[00:00:1.3600],3069.96,3000.00,9.07
35,[00:00:1.4000],2986.51,3000.00,8.43
36,[00:00:1.4400],3015.91,3000.00,26.93
37,[00:00:1.4800],2967.06,3000.00,-8.74
38,[00:00:1.5200],3106.54,3000.00,-48.12
39,[00:00:1.5600],3014.96,3000.00,-12.13
40,[00:00:1.6000],3014.94,3000.00,-9.18
41,[00:00:1.6400],2923.16,3000.00,0.64
42,[00:00:1.6800],2992.81,3000.00,-8.20
43,[00:00:1.7200],3001.35,3000.00,-4.33
44,[00:00:1.7600],3076.57,3000.00,1.17
45,[00:00:1.8000],2854.59,3000.00,-6.87
46,[00:00:1.8400],2938.12,3000.00,-38.75
47,[00:00:1.8800],3001.01,3000.00,-1.38
