# PyMovie format
#
# from file: edge_on_disk_miss_shotnoise_0.0_readnoise_10.0.csv
#
# shot noise level: 0
# read noise sigma: 10
# 
# D @ [00:00:2.5025]
# R @ [00:00:2.5025]
#
# lightcurve model: edge-on-disk
# event category: partial miss
#
# UTC time: 2022-12-25 19:15:12.866669+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.04000 sec
#
# asteroid_diameter_km:  16.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  30.00000 AU
#
# wavelength_nm: 540 nm
#
# miss_distance_km: 1.00000
#
# baseline intensity: 3000.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 400.97865 ADU
#
# D_limb_angle_degrees: 60.0 degrees
# R_limb_angle_degrees: 40.0 degrees
#
# chord_length_sec: 0.00000 sec
# chord_length_km:  0.00000 km
#
# star_diameter_mas: 0.20000 mas
#
# fresnel_length: 1.10227 km
#
# ===== Alternate units =====
#
# star_diameter_km:  4.35168 km
# star_radius_km:    2.17584 km
# star_rho:          1.97 fresnel lengths
#
# asteroid_diameter_mas: 0.73535 mas
# asteroid_rho:          7.26 fresnel lengths
#
# asteroid_distance_arcsec:  0.29294 arcsec
#
# asteroid_speed_sky_motion: 0.22980 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
0,[00:00:0.0000],2990.54,3000.00,-11.09
1,[00:00:0.0400],2999.13,3000.00,9.15
2,[00:00:0.0800],3001.66,3000.00,-4.52
3,[00:00:0.1200],3020.48,3000.00,-8.01
4,[00:00:0.1600],3003.77,3000.00,-6.35
5,[00:00:0.2000],2992.68,3000.00,-5.14
6,[00:00:0.2400],3003.89,3000.00,-23.85
7,[00:00:0.2800],2993.51,3000.00,-4.97
8,[00:00:0.3200],2991.69,3000.00,-4.75
9,[00:00:0.3600],3011.12,3000.00,5.96
10,[00:00:0.4000],3003.05,3000.00,-8.39
11,[00:00:0.4400],3013.62,3000.00,-15.88
12,[00:00:0.4800],3003.74,3000.00,4.03
13,[00:00:0.5200],3014.57,3000.00,-8.16
14,[00:00:0.5600],2994.05,3000.00,-9.51
15,[00:00:0.6000],2997.31,3000.00,22.61
16,[00:00:0.6400],2998.74,3000.00,-5.87
17,[00:00:0.6800],2994.86,3000.00,6.84
18,[00:00:0.7200],2993.94,3000.00,11.80
19,[00:00:0.7600],3022.47,3000.00,-4.77
20,[00:00:0.8000],2996.06,3000.00,3.24
21,[00:00:0.8400],3003.12,3000.00,8.62
22,[00:00:0.8800],2991.22,3000.00,14.74
23,[00:00:0.9200],3011.19,3000.00,-6.56
24,[00:00:0.9600],3003.11,3000.00,5.47
25,[00:00:1.0000],2994.53,3000.00,7.70
26,[00:00:1.0400],2985.67,3000.00,-11.45
27,[00:00:1.0800],2990.79,3000.00,3.93
28,[00:00:1.1200],3012.82,3000.00,10.89
29,[00:00:1.1600],3014.32,3000.00,-0.43
30,[00:00:1.2000],2998.80,3000.00,1.56
31,[00:00:1.2400],2995.59,3000.00,26.08
32,[00:00:1.2800],3000.47,3000.00,-8.54
33,[00:00:1.3200],2994.80,3000.00,-11.59
34,[00:00:1.3600],2984.05,3000.00,3.73
35,[00:00:1.4000],2993.84,3000.00,11.52
36,[00:00:1.4400],3002.30,3000.00,-1.09
37,[00:00:1.4800],3026.13,3000.00,0.46
38,[00:00:1.5200],2999.67,3000.00,0.05
39,[00:00:1.5600],3023.53,3000.00,3.47
40,[00:00:1.6000],2999.59,3000.00,14.60
41,[00:00:1.6400],3002.76,3000.00,0.46
42,[00:00:1.6800],2991.91,3000.00,19.48
43,[00:00:1.7200],3003.69,3000.00,-17.46
44,[00:00:1.7600],3007.63,3000.00,-2.79
45,[00:00:1.8000],3020.18,3000.00,-6.11
46,[00:00:1.8400],3004.93,3000.00,9.69
47,[00:00:1.8800],2984.19,3000.00,-3.65
48,[00:00:1.9200],2999.65,3000.00,-8.13
49,[00:00:1.9600],2993.46,3000.00,-6.63
50,[00:00:2.0000],3000.30,3000.00,1.64
51,[00:00:2.0400],3017.45,3000.00,15.68
52,[00:00:2.0800],3019.81,3000.00,-7.78
53,[00:00:2.1200],2965.24,2990.73,10.84
54,[00:00:2.1600],2973.74,2969.37,17.46
55,[00:00:2.2000],2950.51,2944.33,1.17
56,[00:00:2.2400],2902.36,2918.50,-8.15
57,[00:00:2.2800],2898.87,2894.43,4.32
58,[00:00:2.3200],2871.04,2873.41,1.97
59,[00:00:2.3600],2851.75,2855.70,-5.14
60,[00:00:2.4000],2834.55,2840.19,-0.85
61,[00:00:2.4400],2842.21,2827.39,-2.54
62,[00:00:2.4800],2829.15,2818.79,-17.04
63,[00:00:2.5200],2821.01,2813.91,3.15
64,[00:00:2.5600],2800.43,2813.30,-5.09
65,[00:00:2.6000],2822.71,2817.75,35.00
66,[00:00:2.6400],2826.52,2825.64,-16.63
67,[00:00:2.6800],2841.13,2840.39,-7.27
68,[00:00:2.7200],2849.88,2857.92,3.02
69,[00:00:2.7600],2880.13,2879.64,7.12
70,[00:00:2.8000],2915.75,2906.86,-18.10
71,[00:00:2.8400],2936.17,2939.51,-16.73
72,[00:00:2.8800],2981.08,2975.04,3.70
73,[00:00:2.9200],3003.41,2997.77,1.80
74,[00:00:2.9600],2997.92,3000.00,9.30
75,[00:00:3.0000],3006.55,3000.00,-8.86
76,[00:00:3.0400],3009.43,3000.00,6.38
77,[00:00:3.0800],2996.72,3000.00,12.36
78,[00:00:3.1200],2988.22,3000.00,7.46
79,[00:00:3.1600],2990.04,3000.00,-11.07
80,[00:00:3.2000],2986.43,3000.00,4.95
81,[00:00:3.2400],3003.88,3000.00,8.45
82,[00:00:3.2800],3010.54,3000.00,-8.48
83,[00:00:3.3200],2994.78,3000.00,-5.57
84,[00:00:3.3600],3000.74,3000.00,-12.51
85,[00:00:3.4000],2999.16,3000.00,2.18
86,[00:00:3.4400],2981.36,3000.00,1.37
87,[00:00:3.4800],2994.83,3000.00,-14.41
88,[00:00:3.5200],3023.44,3000.00,3.21
89,[00:00:3.5600],3007.47,3000.00,-22.54
90,[00:00:3.6000],2997.64,3000.00,1.74
91,[00:00:3.6400],2991.96,3000.00,2.81
92,[00:00:3.6800],2990.54,3000.00,6.33
93,[00:00:3.7200],3002.07,3000.00,21.34
94,[00:00:3.7600],3010.25,3000.00,-11.46
95,[00:00:3.8000],3004.48,3000.00,14.15
96,[00:00:3.8400],2999.35,3000.00,-1.54
97,[00:00:3.8800],2999.22,3000.00,2.48
98,[00:00:3.9200],3025.19,3000.00,6.68
99,[00:00:3.9600],3000.62,3000.00,11.44
100,[00:00:4.0000],3001.38,3000.00,9.94
101,[00:00:4.0400],2990.98,3000.00,12.04
102,[00:00:4.0800],2998.76,3000.00,8.63
103,[00:00:4.1200],2991.18,3000.00,-6.65
104,[00:00:4.1600],3004.39,3000.00,2.20
105,[00:00:4.2000],2998.63,3000.00,-13.09
106,[00:00:4.2400],2989.36,3000.00,5.44
107,[00:00:4.2800],2995.69,3000.00,-2.23
108,[00:00:4.3200],2989.61,3000.00,11.09
109,[00:00:4.3600],3003.42,3000.00,0.24
110,[00:00:4.4000],2981.35,3000.00,-4.56
111,[00:00:4.4400],3008.71,3000.00,1.43
112,[00:00:4.4800],3002.11,3000.00,-3.26
113,[00:00:4.5200],3000.10,3000.00,-14.21
114,[00:00:4.5600],3001.14,3000.00,-10.79
115,[00:00:4.6000],2999.96,3000.00,2.98
116,[00:00:4.6400],2974.11,3000.00,-2.57
117,[00:00:4.6800],3000.44,3000.00,9.82
118,[00:00:4.7200],3000.69,3000.00,18.05
119,[00:00:4.7600],3002.35,3000.00,4.64
120,[00:00:4.8000],2994.32,3000.00,-19.08
121,[00:00:4.8400],2989.37,3000.00,0.29
122,[00:00:4.8800],2984.62,3000.00,-10.49
123,[00:00:4.9200],2990.07,3000.00,-1.67
124,[00:00:4.9600],2997.43,3000.00,2.60
125,[00:00:5.0000],2998.71,3000.00,11.89
126,[00:00:5.0400],2986.40,3000.00,-8.26
