# PyMovie format
#
# from file: edge_on_disk_standard_penumbral_D55_R35_shotnoise_2.0_readnoise_20.0.csv
#
# shot noise level: 2
# read noise sigma: 20
# 
# D @ [00:00:3.2208]
# R @ [00:00:23.2208]
#
# lightcurve model: edge-on-disk
# event category: normal
#
# UTC time: 2022-12-25 19:15:10.291443+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.04000 sec
#
# asteroid_diameter_km:  150.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  5.00000 AU
#
# wavelength_nm: 540 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 500.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 66.82978 ADU
#
# D_limb_angle_degrees: 55.0 degrees
# R_limb_angle_degrees: 35.0 degrees
#
# chord_length_sec: 20.00000 sec
# chord_length_km:  100.00000 km
#
# star_diameter_mas: 2.75755 mas
#
# fresnel_length: 0.45000 km
#
# ===== Alternate units =====
#
# star_diameter_km:  10.00000 km
# star_radius_km:    5.00000 km
# star_rho:          22.22 fresnel lengths
#
# asteroid_diameter_mas: 41.36330 mas
# asteroid_rho:          166.67 fresnel lengths
#
# asteroid_distance_arcsec:  1.75764 arcsec
#
# asteroid_speed_sky_motion: 1.37878 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
0,[00:00:0.0000],484.89,500.00,-12.16
1,[00:00:0.0400],499.88,500.00,10.53
2,[00:00:0.0800],488.50,500.00,-46.35
3,[00:00:0.1200],497.50,500.00,-5.08
4,[00:00:0.1600],419.96,500.00,8.59
5,[00:00:0.2000],491.29,500.00,-21.79
6,[00:00:0.2400],444.30,500.00,14.76
7,[00:00:0.2800],564.82,500.00,-26.39
8,[00:00:0.3200],517.09,500.00,12.67
9,[00:00:0.3600],494.55,500.00,16.52
10,[00:00:0.4000],628.32,500.00,28.28
11,[00:00:0.4400],409.00,500.00,8.83
12,[00:00:0.4800],526.10,500.00,-11.92
13,[00:00:0.5200],455.54,500.00,27.55
14,[00:00:0.5600],491.92,500.00,1.02
15,[00:00:0.6000],536.12,500.00,-0.98
16,[00:00:0.6400],525.24,500.00,-5.21
17,[00:00:0.6800],482.11,500.00,-32.28
18,[00:00:0.7200],554.49,500.00,-22.95
19,[00:00:0.7600],449.37,500.00,-3.27
20,[00:00:0.8000],518.79,500.00,-15.60
21,[00:00:0.8400],497.16,500.00,32.81
22,[00:00:0.8800],501.03,500.00,-15.00
23,[00:00:0.9200],535.10,500.00,0.22
24,[00:00:0.9600],527.38,500.00,-42.38
25,[00:00:1.0000],456.98,500.00,-3.86
26,[00:00:1.0400],528.00,500.00,19.73
27,[00:00:1.0800],467.81,500.00,8.93
28,[00:00:1.1200],538.26,500.00,23.58
29,[00:00:1.1600],487.65,500.00,7.42
30,[00:00:1.2000],433.03,500.00,-19.95
31,[00:00:1.2400],507.73,500.00,-17.48
32,[00:00:1.2800],523.80,500.00,-9.42
33,[00:00:1.3200],439.42,500.00,-8.87
34,[00:00:1.3600],542.82,500.00,0.33
35,[00:00:1.4000],528.72,500.00,-4.26
36,[00:00:1.4400],537.34,500.00,-13.66
37,[00:00:1.4800],510.26,500.00,4.52
38,[00:00:1.5200],547.95,500.00,3.18
39,[00:00:1.5600],546.99,500.00,3.00
40,[00:00:1.6000],507.10,500.00,-13.49
41,[00:00:1.6400],465.25,500.00,10.30
42,[00:00:1.6800],498.32,500.00,-10.50
43,[00:00:1.7200],390.77,500.00,34.46
44,[00:00:1.7600],392.16,500.00,61.45
45,[00:00:1.8000],441.33,500.00,20.86
46,[00:00:1.8400],520.17,500.00,1.90
47,[00:00:1.8800],505.81,500.00,3.24
48,[00:00:1.9200],394.01,500.00,13.99
49,[00:00:1.9600],412.60,500.00,9.05
50,[00:00:2.0000],445.93,499.56,-26.58
51,[00:00:2.0400],520.27,497.55,29.99
52,[00:00:2.0800],376.56,494.50,23.59
53,[00:00:2.1200],486.05,490.63,19.87
54,[00:00:2.1600],493.79,486.39,18.11
55,[00:00:2.2000],456.04,481.64,22.90
56,[00:00:2.2400],458.55,476.53,32.62
57,[00:00:2.2800],471.85,470.84,-36.82
58,[00:00:2.3200],456.64,464.86,24.46
59,[00:00:2.3600],503.58,458.52,4.22
60,[00:00:2.4000],498.36,451.96,-12.68
61,[00:00:2.4400],419.22,444.97,19.00
62,[00:00:2.4800],400.20,437.90,-1.02
63,[00:00:2.5200],403.12,430.69,-10.28
64,[00:00:2.5600],384.91,423.18,0.09
65,[00:00:2.6000],356.02,415.52,-40.65
66,[00:00:2.6400],504.85,407.49,34.94
67,[00:00:2.6800],331.08,399.47,-27.33
68,[00:00:2.7200],441.25,391.27,2.02
69,[00:00:2.7600],386.37,382.86,42.31
70,[00:00:2.8000],306.46,374.05,3.47
71,[00:00:2.8400],421.30,365.60,-2.23
72,[00:00:2.8800],311.71,357.00,-22.41
73,[00:00:2.9200],318.26,348.32,-25.11
74,[00:00:2.9600],315.25,339.26,7.72
75,[00:00:3.0000],316.86,330.27,-3.66
76,[00:00:3.0400],331.56,321.23,37.59
77,[00:00:3.0800],361.30,312.29,1.50
