# PyMovie format
#
# from file: high-rho-diffraction_shotnoise_2.0_readnoise_20.0.csv
#
# shot noise level: 2
# read noise sigma: 20
# 
# D @ [00:00:23.0000]
# R @ [00:00:37.0000]
#
# lightcurve model: diffraction
# event category: normal
#
# UTC time: 2022-12-25 19:15:12.280778+00:00   Lightcurve modeller version: 2.0 25 December 2022
#
# frame_time: 0.02000 sec
#
# asteroid_diameter_km:  100.00000 km
#
# asteroid_shadow_speed: 5.00000 km/sec
#
# asteroid_distance_AU:  26.67000 AU
#
# wavelength_nm: 500 nm
#
# miss_distance_km: 0.00000
#
# baseline intensity: 2000.00000 ADU
#            magDrop: 2.18500
# bottom   intensity: 267.31910 ADU
#
# D_limb_angle_degrees: 45.0 degrees
# R_limb_angle_degrees: 45.0 degrees
#
# chord_length_sec: 14.00000 sec
# chord_length_km:  70.00000 km
#
# star_diameter_mas: 0.00000 mas
#
# fresnel_length: 1.03930 km
#
# ===== Alternate units =====
#
# star_diameter_km:  0.00000 km
# star_radius_km:    0.00000 km
# star_rho:          0.00 fresnel lengths
#
# asteroid_diameter_mas: 5.16977 mas
# asteroid_rho:          48.11 fresnel lengths
#
# asteroid_distance_arcsec:  0.32952 arcsec
#
# asteroid_speed_sky_motion: 0.25849 mas/sec
#
# 
#
FrameNum,timeInfo,signal-target_with_noise,signal-target_no_noise,signal-zeroLevel
0,[00:00:0.0000],2073.78,2000.66,-2.52
1,[00:00:0.0200],1853.48,1999.76,-35.40
2,[00:00:0.0400],2139.27,1999.14,21.59
3,[00:00:0.0600],1987.43,1998.85,-31.34
4,[00:00:0.0800],2114.93,1999.78,3.20
5,[00:00:0.1000],1833.47,2000.01,-24.64
6,[00:00:0.1200],2092.45,2000.01,-20.17
7,[00:00:0.1400],2067.30,2001.54,18.25
8,[00:00:0.1600],2044.01,2001.70,-7.83
9,[00:00:0.1800],1992.74,2000.90,17.53
10,[00:00:0.2000],1862.08,1998.93,6.15
11,[00:00:0.2200],2011.01,2000.36,25.78
12,[00:00:0.2400],1842.54,2002.46,-15.67
13,[00:00:0.2600],2049.99,2003.25,-7.70
14,[00:00:0.2800],2169.30,2001.03,-15.99
15,[00:00:0.3000],2054.04,1999.74,-29.97
16,[00:00:0.3200],1863.68,2001.56,-25.37
17,[00:00:0.3400],2181.32,1999.89,-1.48
18,[00:00:0.3600],1882.12,1998.77,1.81
19,[00:00:0.3800],2005.37,1999.12,-26.04
20,[00:00:0.4000],2083.98,1999.92,-15.64
21,[00:00:0.4200],1908.37,2000.91,-32.76
22,[00:00:0.4400],2077.51,2002.04,4.06
23,[00:00:0.4600],2106.25,2000.75,0.08
24,[00:00:0.4800],1831.21,1999.97,-34.69
